cells,UMAP1,UMAP2
cy78_CD45_neg_1_B04_S496_comb,6.0176377,15.900178
cy79_p4_CD45_neg_PDL1_neg_E11_S1115_comb,11.237614,17.149885
CY88_5_B10_S694_comb,8.183488,15.560993
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F07_S67_comb,12.960323,15.616891
cy78_CD45_neg_3_H06_S762_comb,6.1753726,15.082909
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G01_S73_comb,12.457769,17.01819
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D09_S141_comb,11.1800995,17.19449
CY88_3_D02_S614_comb,6.9464946,14.712892
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D06_S138_comb,13.280779,16.29952
cy53_1_CD45_neg_C06_S318_comb,9.698514,11.7361765
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C04_S28_comb,9.573943,16.390915
Cy71_CD45_D08_S524_comb,6.0084295,13.151604
Cy81_FNA_CD45_B01_S301_comb,9.577231,11.153939
CY88_5_B06_S690_comb,7.244848,14.883653
cy79_p3_CD45_neg_PDL1_neg_E04_S244_comb,11.70443,16.894554
Cy80_II_CD45_B07_S883_comb,9.6089,12.826788
cy79_p4_CD45_neg_PDL1_neg_H11_S1151_comb,11.253578,17.03933
Cy81_Bulk_CD45_B10_S118_comb,9.813478,11.448365
cy79_p5_CD45_neg_PDL1_neg_F10_S838_comb,12.362755,16.137726
CY88_3_F01_S637_comb,7.533771,15.510594
CY88_3_C01_S601_comb,6.9083767,15.043725
CY89NEG_E07_S55_comb,7.847349,17.34122
CY89CORE11_G02_S170_comb,7.406903,17.070848
cy78_CD45_neg_1_D07_S523_comb,5.691648,15.981642
cy78_CD45_neg_3_D01_S709_comb,6.4064074,16.102106
cy79_p5_CD45_neg_PDL1_pos_A04_S676_comb,11.801014,14.9555235
Cy71_CD45_B05_S497_comb,6.9990396,13.208734
Cy80_II_CD45_C09_S897_comb,10.448372,13.147428
cy81_FNA_CD45_neg_D04_S1000_comb,10.693343,11.856421
cy82_CD45_pos_2_H12_S576_comb,11.707064,13.097814
cy79_p3_CD45_neg_PDL1_neg_F04_S256_comb,10.805446,15.492808
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C01_S121_comb,11.976019,17.398737
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_D02_S134_comb,8.987182,12.8701
cy80_CD45_neg_G01_S937_comb,9.678505,13.78162
